Фьючерс,Код базового актива,Базовый актив,вид,цена базового актива,,,,,,,,
"'Si курс доллар США-российский рубль',",USDRUBF,USDRUBF,,,,,,,,,,
"'BR нефть BRENT',",???,???,,,,,,,,,,
"RI Индекс PTC',",RTSI,Индекс РТС,индекс,997,,,,,,,,
"'Eu курс евро-российский рубль',",EURRUBF,EURRUBF,валюта,94,,,,,,,,
"'ED курс евро-доллар США',",???,???,,,,,,,,,,
"GD аффинированное золото в слитках',",???,???,,,,,,,,,,
"'SV аффинированное серебро в слитках',",???,???,,,,,,,,,,
"'MX Индекс МосБиржи',",IMOEX,Индекс МосБиржи,индекс,2544,/iss/engines/futures/markets/forts/boards/rfud/securities/{ticker}/candles.json,,,,,,,
"'MM Индекс МосБиржи (мини)',",IMOEX,Индекс МосБиржи,индекс,2544,,,,,,,,
"SR обыкновенные акции ПАО Сбербанк',",SBER,Сбербанк России ПАО ао,акции,297,/iss/engines/stock/markets/shares/boards/tqbr/securities/{ticker}/candles.json,,,,,,interval 24,Real-time market data - Акции
"'GZ обыкновенные акции ПАО ""Газпром""',",GAZP,"""Газпром"" (ПАО) ао",акции,120,,,,,,,,
"LK обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""',",LKOH,НК ЛУКОЙЛ (ПАО) - ао,акции,,,,,,,,,
"'VB обыкновенные акции Банк ВТБ (ПАО)',",VTBR,ао ПАО Банк ВТБ,акции,,,,,,,,,
"PT аффинированную платину в слитках',",???,???,,,,,,,,,,
"'PD аффинированный палладий в слитках',",???,???,,,,,,,,,,
"'AU курс австралийский доллар-доллар США',",???,???,,,,,,,,,,
"'RN обыкновенные акции ПАО ""НК ""Роснефть""',",ROSN,ПАО НК Роснефть,акции,394,,,,,,,,
"'MN обыкновенные акции ПАО ""Магнит""',",MGNT,"""Магнит"" ПАО ао",акции,2877,,,,,,,,
"'AF обыкновенные акции ПАО ""Аэрофлот""',",AFLT,Аэрофлот-росс.авиалин(ПАО)ао,акции,52,,,,,,,,
"'AL обыкновенные акции АК ""АЛРОСА""',",ALRS,АЛРОСА ПАО ао,акции,39,,,,,,,,
"'SN обыкновенные акции ПАО ""Сургутнефтегаз""',",SNGS,Сургутнефтегаз ПАО акции об.,,20,,,,,,,,
"'TT обыкновенные акции ПАО ""Татнефть""',",TATN,"ПАО ""Татнефть"" ао",акции,558,,,,,,,,
"'SP привилегированные акции ПАО Сбербанк',",SBERP,Сбербанк России ПАО ап,акции,293,,,,,,,,
"NM обыкновенные акции ПАО ""НЛМК""',",NLMK,"ПАО ""НЛМК"" ао",акции,100,,,,,,,,
"HY обыкновенные акции ПАО ""РусГидро""',",HYDR,"ПАО ""РусГидро""",акции,0.3859,,,,,,,,
"'ME обыкновенные акции ПАО Московская Биржа',",MOEX,ПАО Московская Биржа,акции,162,,,,,,,,
"GK обыкновенные акции ГМК ""Норильский никель""',",GMKN,"ГМК ""Нор.Никель"" ПАО ао",акции,127,,,,,,,,
"MG ПАО ""Магнитогорский металлургический комбинат""',""Магнитогорск.мет.комб"" ПАО ао",MAGN,"""Магнитогорск.мет.комб"" ПАО АО",акции,25,,,,,,,,
"ML гдр Мэйл.ру Груп',",VKCO,Международная компания ПАО ВК,акции,268,,,,,,,,
"'VI волатильность российского рынка',",RVI,Индекс волатильности RVI,индекс,,,,,,,,,
"'NG природный газ',",???,???,,,,,,,,,,
"'CR курс юань - российский рубль',",CNYRUB_TOM,CNY/RUB_TOM - CNY/РУБ,валюта,11.31,,,,,,,,
"'CNYRUBF юань вечный фьючерс',",CNYRUB_TOM,CNY/RUB_TOM - CNY/РУБ,валюта,11.31,,,,,,,,
"USDRUBF доллар вечный фьючерс',",USDRUBF,USDRUBF,валюта,81,,,,,,,,
"EURRUBF евро вечный фьючерс',",EURRUBF,EURRUBF,валюта,94,,,,,,,,
"IMOEXF IMOEX вечный фьючерс',",IMOEX,Индекс МосБиржи,индекс,2544,,,,,,,,
"GLDRUBF золото вечный фьючерс',",GLDRUBF,GLDRUBF,товар,10368,,,,,,,,
"'SBERF сбер вечный фьючерс',",SBER,Сбербанк России ПАО ао,акции,297,,,,,,,,
"'GAZPF газпром вечный фьючерс',",GAZP,"""Газпром"" (ПАО) ао",акции,120,,,,,,,,
"'UC доллар/юань',",???,???,,,,,,,,,,
"NA Invesco QQQ ETF Trust Unit Series 1',",????,Nasdaq-100 Index,,,,,,,,,,
"'SF SPY ETF Trust',",????,S&P 500 index,,,,,,,,,,
"'RM PTC (мини)',",RTSI,Индекс РТС,индекс,997,,,,,,,,
"'RB Индекс RGBI',",RGBI,Индекс Мосбиржи государственных облигаций ценовой,индекс,116,,,,,,,,
"NK НОВАТЭК',",NVTK,"ПАО ""НОВАТЭК"" ао",акции,1179,,,,,,,,
"GL золото',",???,???,,,,,,,,,,
"'TJ T Банк',",T,Т-Технологии МКПАО ао,акции,2974,,,,,,,,
"'X5 X5',",X5,Корпоративный центр ИКС 5,акции,2648,,,,,,,,
"'YD ЯНДЕКС',",YDEX,МКПАО ЯНДЕКС,акции,4059,,,,,,,,
"'СС какао',",???,???,,,,,,,,,,
"'IB Bitcoin Trust ETF',",???,???,,,,,,,,,,
"'OJ Orange',",???,???,,,,,,,,,,
"'CE Медь',",???,???,,,,,,,,,,
"'FF газ Датч ТТФ',",???,???,,,,,,,,,,
"'KC COFFEE',",???,???,,,,,,,,,,
"'BM BRENT mini',",???,???,,,,,,,,,,
"'NR газ Генри Хаб (микро)',",???,???,,,,,,,,,,
"'DX DAX UCITS ETF',",???,???,,,,,,,,,,
"MY Индекс МосБиржи в юанях',",IMOEXCNY,Индекс МосБиржи в юанях,индекс,1032,,,,,,,,
HS Hong Kong ETF',2800,Tracker Fund of Hong Kong (HKD),,17,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,